,lat,lon,id,title,start_ts,report_type,severity,lat_long,severity_quadratic,city,anomalous
175,33.0,66.0,0Bs+IwTB5hG7FJQCZNc2RA,"Import, export activity via Hairatan port at standstill",2016-12-13 07:16:59,Geopolitical,moderate,"(33.0, 66.0)",4,Kandahār,1.0
271,39.76,-98.5,vnC5ZIHB5hGoIZICZNc2RA,Qantas mulls second crack at American Airlines deal,2016-12-13 22:13:36,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
274,36.20124,37.16117,GJGEPYHB5hGEtasCZNc2RA,99% Seized: Residents celebrate imminent Aleppo liberation from ISIS,2016-12-13 22:12:30,Infrastructure,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
280,43.0389,-87.90647,YvRZn4jB5hGppJUCZNc2RA,Milwaukee teen girl killed by shots fired from outside home,2016-12-13 23:05:21,Physical Threats,extreme,"(43.038899999999998, -87.906469999999999)",25,Milwaukee,1.0
301,39.76,-98.5,SA50wKLB5hG6CJsCZNc2RA,Algeria Travel Warning,2016-12-14 02:12:24,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
361,35.0,38.0,aAXpRRPC5hGR1JoCZNc2RA,Pentagon: 3 ISIS leaders killed in airstrike,2016-12-14 15:37:51,Geopolitical,medium,"(35.0, 38.0)",9,Ḩamāh,1.0
365,39.76,-98.5,4h5cPhnC5hGkmpcCZNc2RA,"U.S. to halt some arms sales to Saudi, citing civilian deaths in Yemen campaign | Reuters",2016-12-14 16:20:35,Infrastructure,medium,"(39.759999999999998, -98.5)",9,Wichita,1.0
368,27.69639,-80.57409,Bpt+ZxnC5hGsppcCZNc2RA,Norovirus Outbreak At Gifford Middle School,2016-12-14 16:21:44,Public Health,low,"(27.696390000000001, -80.574089999999998)",1,Tampa,1.0
391,44.95816,-124.01789,8D2O9yjC5hGfRArRy13KCQ,WEATHER: WINTER WEATHER ADVISORY ISSUED,2016-12-14 18:13:08,Other,moderate,"(44.958159999999999, -124.01788999999999)",4,Portland,1.0
394,44.56457,-123.26204,bMhR+yjC5hG+_ArRy13KCQ,"Winter Weather Advisory issued for Wednesday: Snow, ice likely in Eugene area",2016-12-14 18:13:15,Other,moderate,"(44.564570000000003, -123.26203999999998)",4,Portland,1.0
399,33.87405,74.89955,YjupEinC5hGEjgrRy13KCQ,"J&K Govt names Burhan brother in compensation list, ally BJP protests",2016-12-14 18:13:54,Other,moderate,"(33.874049999999997, 74.899550000000005)",4,Srinagar,1.0
409,60.10867,-113.64258,1kuyaTDC5hGGWQnRy13KCQ,Cuisinart recalls food processors after blade pieces end up in food,2016-12-14 19:06:26,Public Health,moderate,"(60.108669999999996, -113.64258000000001)",4,Edmonton,1.0
410,39.76,-98.5,RE2OkTDC5hGILQnRy13KCQ,The U.S. is helping train Iraqi militias historically tied to Iran,2016-12-14 19:07:33,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
523,35.46756,-97.51643,6K6MOtjC5hG+0AvRy13KCQ,Oklahoma City police release video of fatal airport shooting that left Michael Winchester dead,2016-12-15 15:07:43,Physical Threats,moderate,"(35.467559999999999, -97.51643)",4,Oklahoma City,1.0
588,36.20124,37.16117,9qD9yCPD5hGtKCPRy13KCQ,Pro-regime Forces Attack as Wounded Syrians Begin to Evacuate East Aleppo,2016-12-16 00:08:34,Physical Threats,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
639,34.05223,-118.24368,sBaKtWbD5hGq0Q3Ry13KCQ,NOW SHOWING,2016-12-16 08:07:38,Physical Threats,moderate,"(34.052230000000002, -118.24368)",4,Los Angeles,1.0
660,36.20124,37.16117,yPUC4ZjD5hGIndMN+RcZ4Q,"Erdogan, Obama discuss latest situation in Aleppo",2016-12-16 14:06:45,Other,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
661,36.20124,37.16117,ss9b4pjD5hGIndMN+RcZ4Q,"Erdogan, Obama discuss latest situation in Aleppo",2016-12-16 14:06:48,Other,moderate,"(36.201240000000006, 37.161169999999998)",4,Aleppo,1.0
682,-18.0,178.0,kNy8obrD5hGIBhnRy13KCQ,Clarification,2016-12-16 18:08:22,Other,moderate,"(-18.0, 178.0)",4,Auckland,1.0
692,6.45407,3.39467,Gn0RJsvD5hGaruEN+RcZ4Q,"Ambode, others feel city’s heartbeat in new musical",2016-12-16 20:06:36,Other,moderate,"(6.4540699999999998, 3.3946699999999996)",4,Lagos,1.0
700,12.913076,100.768476,zp+dHNvD5hGseQnRy13KCQ,Foreign national found dead off Samae Beach in Chonburi province,2016-12-17 00:00:00,riskline_4,medium,"(12.913076, 100.76847600000001)",9,Samut Prakan,1.0
730,46.00014,-60.31516,IqCF0x7E5hGkFAoO+RcZ4Q,"Arctic blast knocks out power for thousands, closes many Nova Scotia schools",2016-12-17 06:05:35,Infrastructure,moderate,"(46.000140000000002, -60.315159999999999)",4,Halifax,1.0
748,51.5,10.5,GtmEGUnE5hGh5BrRy13KCQ,‘Furious’ German spies frozen out by UK intelligence after ‘leaking to WikiLeaks’,2016-12-17 11:08:12,Geopolitical,moderate,"(51.5, 10.5)",4,Hannover,1.0
752,39.76,-98.5,jg1nIEnE5hGGkhrRy13KCQ,US intelligence accuses Putin of personally directing election hack,2016-12-17 11:08:23,Geopolitical,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
776,47.27899,-122.25206,pNBU63rE5hG52xUO+RcZ4Q,King County Mumps Outbreak: The Latest Numbers,2016-12-17 17:04:49,Physical Threats,moderate,"(47.27899, -122.25206000000001)",4,Seattle,1.0
873,-5.0,120.0,+mUF8EzF5hGk3RoO+RcZ4Q,13 killed after Indonesian air force plane crashes in Papua,2016-12-18 18:08:11,Other,moderate,"(-5.0, 120.0)",4,Makassar,1.0
874,34.74648,-92.28959,oFF38UzF5hGk3RoO+RcZ4Q,"Boy, 3, shot dead in road rage attack on Christmas shopping trip with grandma because car was ‘not going fast enough’",2016-12-18 18:08:14,Infrastructure,high,"(34.746479999999998, -92.289590000000004)",16,New South Memphis,1.0
974,36.335,43.11889,YGeQnfzF5hGe_CgO+RcZ4Q,Families sift through ISIS belongings left in their homes,2016-12-19 15:05:44,Infrastructure,moderate,"(36.335000000000001, 43.11889)",4,Mosul,1.0
975,-5.0,120.0,4GCrn_zF5hGfkCgO+RcZ4Q,Indonesian police arrest dozens ahead of West Papua protest,2016-12-19 15:05:48,Crime,moderate,"(-5.0, 120.0)",4,Makassar,1.0
1018,22.0,79.0,+mPbfEDG5hGO1THRy13KCQ,India indicts Pakistan-based militants over Pathankot air base attack,2016-12-19 23:11:35,Geopolitical,medium,"(22.0, 79.0)",9,Nagpur,1.0
1038,-4.3440321,15.3519547,QG4r6EjG5hGT0jbRy13KCQ,Gunfire heard in Kinshasa as anti-Kabila protests continue - Update,2016-12-20 00:00:00,riskline_3,medium,"(-4.3440320999999997, 15.351954699999999)",9,Kinshasa,1.0
1077,31.180993,35.701683,2AcrMrTG5hGARArRy13KCQ,Islamic State claims responsibility for attack in Karak - Update,2016-12-20 00:00:00,riskline_2,moderate,"(31.180993000000001, 35.701683000000003)",4,Jerusalem,1.0
1079,-25.747622,28.21947,DHzKIr3G5hGuaQrRy13KCQ,Protesters clash with police outside Congolese Embassy in Pretoria,2016-12-20 00:00:00,riskline_3,medium,"(-25.747622, 28.219470000000001)",9,Pretoria,1.0
1153,52.52437,13.41053,JOQF5xnH5hGjMuAN+RcZ4Q,Berlin police investigating 'probable terrorist attack',2016-12-21 01:07:54,Physical Threats,moderate,"(52.524369999999998, 13.41053)",4,Berlin,1.0
1161,52.52437,13.41053,lrcx6RnH5hGyQQ_Ry13KCQ,"Suspect in Berlin Christmas market attack came to Germany as refugee, reports say",2016-12-21 01:07:58,Physical Threats,moderate,"(52.524369999999998, 13.41053)",4,Berlin,1.0
1165,39.91987,32.85427,nt_G7BnH5hG82ucN+RcZ4Q,Photographer recounts moment Russian envoy was assassinated,2016-12-21 01:08:04,Geopolitical,moderate,"(39.919870000000003, 32.85427)",4,Ankara,1.0
1166,35.0,38.0,eIY67hnH5hGJ4ucN+RcZ4Q,Envoy's killing in Turkey exposes Russia tensions,2016-12-21 01:08:06,Geopolitical,medium,"(35.0, 38.0)",9,Ḩamāh,1.0
1172,52.52437,13.41053,OHbAwhnH5hGVgeAN+RcZ4Q,LIVE: Police search Berlin’s biggest asylum centre,2016-12-21 01:06:53,Geopolitical,moderate,"(52.524369999999998, 13.41053)",4,Berlin,1.0
1196,52.52437,13.41053,vrMTtjLH5hGCJiLRy13KCQ,No Pinoy casualties in Berlin Christmas market attack: DFA,2016-12-21 04:05:29,Physical Threats,moderate,"(52.524369999999998, 13.41053)",4,Berlin,1.0
1262,52.52437,13.41053,vsss8Y7H5hGc2SLRy13KCQ,Islamic State claims responsibility for Berlin market attack,2016-12-21 15:05:42,Physical Threats,medium,"(52.524369999999998, 13.41053)",9,Berlin,1.0
1305,-6.21462,106.84513,EspK3MnH5hGSOwAO+RcZ4Q,"Indonesia police kill 3 suspected militants, defuse bombs",2016-12-21 22:07:27,Physical Threats,moderate,"(-6.21462, 106.84513000000001)",4,Jakarta,1.0
1353,10.31672,123.89071,TniAji7I5hGwEAvRy13KCQ,"Espinoza: Death penalty, Duterte’s promise",2016-12-22 10:08:16,Other,moderate,"(10.31672, 123.89071000000001)",4,Cebu City,1.0
1363,53.0,28.0,mN8ckzbI5hG4gdMN+RcZ4Q,Nothing extraordinary about replacement of Belarus president security service chief,2016-12-22 11:05:40,Geopolitical,moderate,"(53.0, 28.0)",4,Minsk,1.0
1488,39.76,-98.5,gk57F5vI5hG60vkW_zs7xg,"Japan, US mark the return of military-used land to Okinawa",2016-12-22 23:05:12,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
1495,51.50853,-0.12574,tIw9ipvI5hGCF9UN+RcZ4Q,Brick Lane assault: Moment man punches shopper in 'unprovoked attack' after bumping into girlfriend,2016-12-22 23:08:24,Other,moderate,"(51.50853, -0.12574000000000002)",4,London,1.0
1558,8.0,39.0,WrmpdAjJ5hGyevkW_zs7xg,Ethiopia Frees Thousands of Detainees,2016-12-23 12:08:03,Geopolitical,moderate,"(8.0, 39.0)",4,Addis Ababa,1.0
1559,1.0,38.0,cFDcdgjJ5hGtSvkW_zs7xg,"Is Magu Nigeria’s most dangerous man?, by Azu Ishiekwene",2016-12-23 12:08:07,Infrastructure,moderate,"(1.0, 38.0)",4,Nairobi,1.0
1567,38.06282,-91.40348,RBm9nRjJ5hGkuQ_Ry13KCQ,10 Travel Destinations That Will Dominate in 2017,2016-12-23 14:03:44,Physical Threats,moderate,"(38.062820000000002, -91.403480000000002)",4,St. Louis,1.0
1568,36.20124,37.16117,BqjE9BjJ5hG819sN+RcZ4Q,Aleppo: Syrian Army Retakes Complete Control in Victory for President Assad,2016-12-23 14:06:10,Geopolitical,medium,"(36.201240000000006, 37.161169999999998)",9,Aleppo,1.0
1569,-25.0,135.0,HH+6hRjJ5hGJTNkN+RcZ4Q,"Australia police: Christmas Day bomb plot foiled, 5 detained",2016-12-23 14:03:04,Physical Threats,moderate,"(-25.0, 135.0)",4,Adelaide,1.0
1583,43.51701,-73.23622,ZJV0aTrJ5hGEFPgW_zs7xg,Shooting is described as unintended cap to string of crimes,2016-12-23 18:05:39,Physical Threats,medium,"(43.517009999999999, -73.236219999999989)",9,Boston,1.0
1600,51.5,10.5,dDEaclPJ5hGnBA7Ry13KCQ,Brothers arrested in Germany on suspicion of planning terror attack on mall,2016-12-23 21:04:51,Physical Threats,moderate,"(51.5, 10.5)",4,Hannover,1.0
1605,52.52437,13.41053,5JS9aVPJ5hGHTxoX_zs7xg,The Berlin Truck-Jihad Attack,2016-12-23 21:04:37,Crime,moderate,"(52.524369999999998, 13.41053)",4,Berlin,1.0
1678,31.5,34.75,cpWtIvPJ5hGv7hHRy13KCQ,"UN Security Council denounces Israeli settlements, US abstains",2016-12-24 16:07:57,Geopolitical,moderate,"(31.5, 34.75)",4,Gaza,1.0
1717,42.26259,-71.80229,JMxuAi3K5hGGIh4X_zs7xg,Man who took pleasure in cop's death held on threat charges,2016-12-24 23:02:14,Physical Threats,moderate,"(42.262590000000003, -71.802289999999999)",4,Boston,1.0
3604,39.76,-98.5,8JbySPHC5hGn_zAO+RcZ4Q,Osprey flights in Japan halted,2016-12-15 18:07:04,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
3639,49.8844,-97.14704,3J9fQgDC5hG8Jw7Ry13KCQ,Suspicious Item Unfounded: Police,2016-12-14 13:21:45,Crime,moderate,"(49.884399999999999, -97.147040000000004)",4,Winnipeg,1.0
3667,13.08784,80.27847,wHXLvI7A5hGtW6QCZNc2RA,"Flights out of Chennai diverted, cancelled",2016-12-12 17:16:36,Other,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
3681,60.10867,-113.64258,Dpp48APB5hGSGpMCZNc2RA,"Donetsk Defense: Situation Report, 12.12.2016",2016-12-13 07:15:34,Other,moderate,"(60.108669999999996, -113.64258000000001)",4,Edmonton,1.0
3778,41.85003,-87.65005,4EMFcGPA5hGB_BzRy13KCQ,"Snow, Frigid Temperatures Hit Much of Northern U.S.",2016-12-12 12:06:39,Other,moderate,"(41.850029999999997, -87.650049999999993)",4,Chicago,1.0
3863,11.84692,13.15712,XKS_N2TA5hGCYRvRy13KCQ,Girls 'aged 7 or 8' stage suicide attack in Nigeria,2016-12-12 12:12:14,Physical Threats,high,"(11.846919999999999, 13.157120000000001)",16,Maiduguri,1.0
4068,34.39256,-100.89764,HMhll2vA5hGLHhzRy13KCQ,Turkish citizens in Berlin protest PKK terror attack,2016-12-12 13:05:01,Physical Threats,moderate,"(34.392559999999996, -100.89764)",4,Oklahoma City,1.0
4076,28.03947,-81.9498,oGHIvGvA5hGzBBzRy13KCQ,Drane Field Road Closed In Lakeland Due Traffic Fatality,2016-12-12 13:06:04,Infrastructure,moderate,"(28.039470000000001, -81.949799999999996)",4,Tampa,1.0
4091,39.0,35.0,nmn9K2zA5hGYmxrRy13KCQ,Erdogan’s clampdown fuelling Turkey’s year of terror,2016-12-12 13:09:10,Physical Threats,moderate,"(39.0, 35.0)",4,Kayseri,1.0
4093,49.0963,-122.623,hAfe5WvA5hGkBBvRy13KCQ,VIDEO: Fire forces evacuation of Langley City apartment building,2016-12-12 13:07:13,Natural Disaster,moderate,"(49.096299999999999, -122.62299999999999)",4,Surrey,1.0
4121,33.84918,-118.38841,_o_p3GvA5hGlnqICZNc2RA,Police Say Suspect Wounded In Shooting In San Pedro Attempted To Hit Officer With Car,2016-12-12 13:06:58,Physical Threats,moderate,"(33.849179999999997, -118.38841000000001)",4,Long Beach,1.0
4273,-38.65333,178.00417,IFL1Nm3A5hGwBhvRy13KCQ,"Light plane crashes near Gisborne, one on board",2016-12-12 13:16:38,Other,moderate,"(-38.653329999999997, 178.00416999999999)",4,Manukau City,1.0
4307,35.0,38.0,hG2kY2zA5hGIMaECZNc2RA,The Latest: Russia shows special forces in action in Syria,2016-12-12 13:10:44,Geopolitical,medium,"(35.0, 38.0)",9,Ḩamāh,1.0
4334,-38.65333,178.00417,LOmOO23A5hGvcKQCZNc2RA,Plane crashes in Gisborne District,2016-12-12 13:16:46,Other,moderate,"(-38.653329999999997, 178.00416999999999)",4,Manukau City,1.0
4343,5.34388,6.65684,okKcSm3A5hGtxxnRy13KCQ,Nigerian police officer beheaded in Rivers Rerun election,2016-12-12 13:17:11,Crime,moderate,"(5.3438800000000004, 6.656839999999999)",4,Port Harcourt,1.0
4425,41.85003,-87.65005,RgX7r3TA5hGTuRzRy13KCQ,Midwest snow storm grounds hundreds of Chicago flights,2016-12-12 14:10:08,Other,medium,"(41.850029999999997, -87.650049999999993)",9,Chicago,1.0
4432,41.46588,-85.58748,xF0zb3TA5hGRZaICZNc2RA,Northern Indiana authorities uncover high school drug ring,2016-12-12 14:08:19,Crime,medium,"(41.465879999999999, -85.587479999999999)",9,Chicago,1.0
4438,41.85003,-87.65005,8srTjXTA5hGu_aICZNc2RA,Midwest snow storm grounds hundreds of Chicago flights,2016-12-12 14:09:10,Other,medium,"(41.850029999999997, -87.650049999999993)",9,Chicago,1.0
4625,54.75844,-2.69531,3urvLnTA5hGUHRvRy13KCQ,British shoppers to be protected by concrete barriers over suicide bomber fears,2016-12-12 14:06:31,Physical Threats,moderate,"(54.75844, -2.6953099999999997)",4,Preston,1.0
4698,17.38405,78.45636,YG2W4nTA5hGOF6QCZNc2RA,"Milad un Nabi PBUH, Celebrations in Hyderabad",2016-12-12 14:11:33,Physical Threats,moderate,"(17.384049999999998, 78.456360000000004)",4,Hyderabad,1.0
4792,41.01384,28.94966,vowtZ3zA5hGCBqQCZNc2RA,Turkey blasts claimed by Kurdish militants; country mourns,2016-12-12 15:05:22,Geopolitical,extreme,"(41.013840000000002, 28.949659999999998)",25,İstanbul,1.0
4813,41.01384,28.94966,YL21a3zA5hGwFRzRy13KCQ,Turkish Authorities Suspect PKK Behind Istanbul Attack,2016-12-12 15:05:29,Physical Threats,medium,"(41.013840000000002, 28.949659999999998)",9,İstanbul,1.0
4949,13.08784,80.27847,aCFLkX3A5hGC+qMCZNc2RA,LIVE! Cyclone Vardah begins crossover from sea to coast,2016-12-12 15:13:42,Geopolitical,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
5005,36.335,43.11889,AmNueH7A5hGOMKICZNc2RA,Mosul Dam collapse ‘will be worse than a nuclear bomb’,2016-12-12 15:20:10,Other,moderate,"(36.335000000000001, 43.11889)",4,Mosul,1.0
5025,21.14631,79.08491,GDV39n3A5hGGOhnRy13KCQ,"Nagpur: Owner, two managers booked as pharma unit blast toll hits nine",2016-12-12 15:16:31,Infrastructure,medium,"(21.14631, 79.084909999999994)",9,Nagpur,1.0
5031,34.26945,-118.78148,ojYRgH7A5hGEiBnRy13KCQ,Man held for allegedly stabbing worshipper near mosque,2016-12-12 15:20:22,Crime,moderate,"(34.269449999999999, -118.78148)",4,Los Angeles,1.0
5097,22.0,79.0,AOYEUn7A5hGVXaMCZNc2RA,Headed home: workers abandon Indian building sites after cash crackdown,2016-12-12 15:19:05,Crime,medium,"(22.0, 79.0)",9,Nagpur,1.0
5139,51.05011,-114.08529,WHEkrYTA5hGi0aICZNc2RA,Inspiring birthday party raises gifts for Calgary children,2016-12-12 16:04:35,Other,moderate,"(51.050109999999997, -114.08528999999999)",4,Calgary,1.0
5161,-37.68015,144.91877,1BLOuITA5hGUGhvRy13KCQ,Police investigate suspicious blaze in Broadmeadows,2016-12-12 16:04:55,Natural Disaster,moderate,"(-37.680149999999998, 144.91876999999999)",4,Melbourne,1.0
5287,51.5,10.5,iKD+zIXA5hGQfhnRy13KCQ,Christian children being 'BULLIED and assaulted by Muslim migrants' in German city,2016-12-12 16:12:38,Other,moderate,"(51.5, 10.5)",4,Hannover,1.0
5306,36.20124,37.16117,FADta4XA5hGYi6ICZNc2RA,Russian warplanes kill over 300 Syrians in Palmyra,2016-12-12 16:09:55,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
5333,36.20124,37.16117,gpqsiYbA5hGJXBzRy13KCQ,Government gains more ground in eastern Aleppo,2016-12-12 16:17:54,Public Health,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
5374,13.08784,80.27847,Pv8jW4bA5hG0QRnRy13KCQ,South India on alert as Cyclone Vardah nears coast,2016-12-12 16:16:36,Other,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
5398,13.08784,80.27847,KHAyfobA5hGRh6MCZNc2RA,"9,500 People Evacuated From Coastal Areas In Chennai As Cyclone Vardah Enters Pulicat",2016-12-12 16:17:35,Other,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
5552,13.08784,80.27847,ckiTzZXA5hGaohnRy13KCQ,"Flights out of Chennai diverted, cancelled",2016-12-12 18:07:11,Other,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
5595,30.06263,31.24967,6vqPcY7A5hG4chrRy13KCQ,Terror Attack Targets Women and Children at Main Christian Cathedral in Cairo,2016-12-12 17:14:30,Physical Threats,medium,"(30.062629999999999, 31.249670000000002)",9,Cairo,1.0
5663,34.00043,-81.00009,ekCVCo7A5hGnORzRy13KCQ,South Carolina police: Man killed amid gunfire with officers,2016-12-12 17:11:37,Crime,moderate,"(34.000430000000001, -81.00009)",4,Charlotte,1.0
5666,30.06263,31.24967,JL2wJ47A5hGXsxzRy13KCQ,Bomb blast kills at least 25 at Cairo Coptic church,2016-12-12 17:12:26,Physical Threats,moderate,"(30.062629999999999, 31.249670000000002)",4,Cairo,1.0
5706,-6.21462,106.84513,PhGtZ47A5hGFZBzRy13KCQ,Indonesian police arrest 4 in a failed bomb plot,2016-12-12 17:14:13,Crime,moderate,"(-6.21462, 106.84513000000001)",4,Jakarta,1.0
5765,22.0,79.0,PPeQz5XA5hGwkqQCZNc2RA,To boldly go,2016-12-12 18:07:14,Infrastructure,medium,"(22.0, 79.0)",9,Nagpur,1.0
5785,22.0,79.0,+gMWTpXA5hGN1KICZNc2RA,Former IAF chief arrested over helicopter import deal,2016-12-12 18:03:37,Other,moderate,"(22.0, 79.0)",4,Nagpur,1.0
5792,39.76,-98.5,jgPBuZXA5hGA_aICZNc2RA,Official: FBI told Illinois GOP of possible email hacking,2016-12-12 18:06:38,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
5831,49.19967,-122.81932,tOzcqI_A5hGzeaECZNc2RA,Alex Fraser Bridge closure defended as a necessary safety measure,2016-12-12 17:23:12,Infrastructure,medium,"(49.199670000000005, -122.81931999999999)",9,Surrey,1.0
5841,37.566,126.9784,iMXltJbA5hGuOaECZNc2RA,The Korea Interbank Offered Rates (KORIBOR),2016-12-12 18:13:39,Geopolitical,moderate,"(37.566000000000003, 126.97839999999999)",4,Seoul,1.0
5860,51.5,10.5,ZsOX65XA5hGVV6MCZNc2RA,Germany closely looking on N. Korean airline's possible illicit activities: report,2016-12-12 18:08:01,Public Health,moderate,"(51.5, 10.5)",4,Hannover,1.0
5862,39.76,-98.5,_tXT9ZXA5hGYfaMCZNc2RA,FBI told Illinois GOP of possible email hacking: Official,2016-12-12 18:08:18,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
5869,15.0,121.08333,putzwY_A5hG5xRvRy13KCQ,"Sunog sa tindahan ng damit, nag-iwan ng P2-M pinsala",2016-12-12 17:23:53,Infrastructure,moderate,"(15.0, 121.08333)",4,San Jose del Monte,1.0
5886,33.67927,-84.27187,DvOpKpXA5hGHLBvRy13KCQ,Ayurvedic resort opened,2016-12-12 18:02:37,Public Health,moderate,"(33.679270000000002, -84.271869999999993)",4,Atlanta,1.0
5895,13.08784,80.27847,DvzlXJbA5hG9chvRy13KCQ,"Cyclonic Storm Vardah Hits Chennai Coast, People Evacuated to Relief Centers",2016-12-12 18:11:11,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
5964,39.76,-98.5,Zmb6rpXA5hGz1hzRy13KCQ,Official: FBI told Illinois GOP of possible email hacking,2016-12-12 18:06:19,Other,moderate,"(39.759999999999998, -98.5)",4,Wichita,1.0
5977,36.20124,37.16117,bgLFgp7A5hGM+R7Ry13KCQ,Vanishing civilians of Aleppo,2016-12-12 19:09:31,Other,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
6026,13.08784,80.27847,hszxU5bA5hGmQxnRy13KCQ,Cyclone Vardah lashes south India coast with 120km/h winds,2016-12-12 18:10:56,Geopolitical,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
6043,13.08784,80.27847,utOfW5bA5hGDeh3Ry13KCQ,Cyclone Vardah: Rail and air services affected in Chennai,2016-12-12 18:11:09,Other,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
6089,36.20124,37.16117,vFdzQpfA5hGeSx3Ry13KCQ,Syrian troops take even more ground in rebel part of Aleppo,2016-12-12 18:17:36,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
6242,36.20124,37.16117,7N51pJ7A5hGFG6ICZNc2RA,Syria Says Government Forces Now Control 98 Percent of Aleppo,2016-12-12 19:10:27,Geopolitical,extreme,"(36.201240000000006, 37.161169999999998)",25,Aleppo,1.0
6275,13.08784,80.27847,3ryLc57A5hGX2R7Ry13KCQ,"10 updates on Cyclone Vardah: Wind speed reduces, storm to move towards Karnata...",2016-12-12 19:09:05,Infrastructure,moderate,"(13.08784, 80.278469999999999)",4,Chennai,1.0
6345,15.83333,79.75,iNqE857A5hGVcR7Ry13KCQ,"Cyclone Vardah set for landfall; heavy rain pounds Tamil Nadu, Andhra coast",2016-12-12 19:12:40,Geopolitical,moderate,"(15.833329999999998, 79.75)",4,Guntur,1.0
6375,41.85003,-87.65005,GiB4t6bA5hGhEqMCZNc2RA,Midwest Snow Storm Grounds Hundreds Of Chicago Flights,2016-12-12 20:08:15,Natural Disaster,medium,"(41.850029999999997, -87.650049999999993)",9,Chicago,1.0
6377,32.0,53.0,+Aa0TrPB5hGmHZsCZNc2RA,Iran inks two oil deals with Russia's Gazprom,2016-12-14 04:10:54,Geopolitical,moderate,"(32.0, 53.0)",4,Yazd,1.0
