,title,critical,predicted
320,Water wheelchairs make Melbourne beaches accessible for all,0.0,1
321,Army continues evacuating civilians from al-Salihin and al-Shaikh Saed neighborhoods in Aleppo to safe areas,1.0,1
322,Suspected gas attack kills dozens in Islamic State area near Palmyra,0.0,1
323,99% Seized: Residents celebrate imminent Aleppo liberation from ISIS,1.0,1
325,Qantas mulls second crack at American Airlines deal,1.0,1
326,Qantas mulls second crack at American Airlines deal,1.0,1
327,Qantas mulls second crack at American Airlines deal,1.0,1
328,Qantas mulls second crack at American Airlines deal,1.0,1
329,Slovakia to Send Humanitarian Aid for Aleppo Residents on Wednesday,1.0,1
330,Aleppo Civilians Killed in 'Complete Meltdown of Humanity': U.N.,1.0,1
331,"Northbound I-75 lanes reopen after tanker overturns, southbound still closed",1.0,0
333,"ISIS used as tool by Saudis, US & Turkey when it suits their interests – US senator",1.0,1
334,ISIS commander among 4 killed in US airstrike in East of Afghanistan,1.0,1
335,Philippine lawmakers file criminal case against Duterte critic,0.0,1
336,No injuries in Poynette standoff with exchange of gunfire,0.0,1
341,"Turkey detains Kurds, hits militants after twin bombings",0.0,1
343,Texas flight to Germany diverted to NYC after bomb threat,0.0,1
350,Suspected US drone strike targets AQAP militants between Marib and al Jawf governorates,0.0,1
357,Hundreds gather for Aleppo solidarity rally in Paris,0.0,1
362,Clashes erupt during anti-austerity demonstration in Brasilia,0.0,1
364,Legion hackers: Eyes on sansad.nic.in now; will target BJP when ‘time is right’,0.0,1
365,Thai police reject Australian tourist's tuk-tuk rape claim in Bangkok,0.0,1
366,Army continues operations to uproot terrorists from eastern neighborhoods of Aleppo,1.0,1
368,"Aid drops over Syria too risky for `sitting duck´ planes, says Boris Johnson",0.0,1
376,"S. Korea, US, Japan to Cooperate on Implementing Cap on N. Korea's Coal Exports",1.0,0
378,Red Cross urges parties in Syria’s Aleppo to spare civilians,1.0,1
379,Red Cross urges parties in Syria's Aleppo to spare civilians,1.0,1
380,"US church shooter had list of targets, more ammunition",1.0,0
381,Mass killing reported in Aleppo as Syria troops near victory,1.0,1
382,Red Cross urges parties in Syria's Aleppo to spare civilians,1.0,1
383,Red Cross urges parties in Syria's Aleppo to spare civilians,1.0,1
384,‘Surrender or die’: Syrian army on brink of Aleppo victory,1.0,1
385,"Aleppo: Pro-regime forces shooting fleeing civilians, says UN",1.0,1
386,‘Complete meltdown of humanity’ in Aleppo as  civilians shot,1.0,1
387,Syrian forces agree ceasefire to allow Aleppo evacuation,1.0,1
388,Battle for Aleppo 'ends' as Syrian forces agree ceasefire,1.0,1
389,More Civilians Evacuate from “Rebel-Held” Parts of Aleppo,1.0,1
396,"NMC realizes dangers, closes CB road stretch",0.0,1
399,"Photos: Shia, Sunni Muslims attend 'Unity Week' in Muslim Aligarh University, India",0.0,1
402,Algeria Travel Warning,1.0,0
404,France launches first cyber-warfare unit to take on hackers,1.0,1
407,U.N. ditching Wonder Woman as ambassador Friday amid protests,1.0,0
408,"EXCLUSIVE - U.S. to halt some arms sales to Saudi, citing civilian deaths in Yemen campaign",1.0,1
409,NASA launches satellites to improve hurricane forecasts,1.0,0
411,Aleppo's abandoned districts by rebels is taken over by Syrian Army and its allies,1.0,1
412,USFK commander says no delay in THAAD deployment,1.0,1
413,Obama: President without briefings 'flying blind',1.0,1
414,Security Measures at Russian Consulate in Istanbul Increased Amid Anti-Moscow Protests Held in City Due to Situation in Aleppo – Embassy,1.0,1
415,Syrians post 'goodbye' messages from eastern Aleppo,1.0,1
419,Syria civil war by the numbers,0.0,1
420,'It's hell': Pro-Assad forces consolidate gains in Syria's Aleppo,1.0,1
421,URGENT: Syrian Gov't Forces Take Control of 98 Percent of Aleppo City,1.0,1
422,Mass killing reported in Aleppo as Syria troops near victory,1.0,1
423,Mass killing reported in Aleppo as Syria troops near victory,1.0,1
425,U.S. lawmakers urge end to Honduras security aid after murder of land rights activist,1.0,0
426,"Fundamental Interests of Russia, US Require Thaw in Bilateral Ties - Putin",1.0,1
430,Iran to ink $25bn new oil deals,0.0,1
432,Army Wraps Up War Game in Southeast Iran,0.0,1
434,"E.Aleppo council head says civilians, rebels to be evacuated early Wednesday",0.0,1
435,Syria: Drone Captures Old Aleppo Quarter after Army Liberates Citadel Area,0.0,1
436,"Europe ready for CYBERWAR over fears Russia will hack Germany, France and Netherlands vote",1.0,0
437,Ex-CIA Officer: Obama's Last Weapon Shipment Unlikely to Reach US-Backed Militants in Aleppo,0.0,1
438,UN rights office cites reports of Syria’s pro-government forces killing at least 82 civilians in eastern Aleppo,0.0,1
439,CCEM And NWS Issue Weather Alert,0.0,1
443,"Japan, China, S. Korea summit postponed on Park woes",0.0,1
444,UPDATE1: Postwar peace pact with Japan difficult: Russia official,0.0,1
446,Aleppo civilians 'shot on the spot' - UN,0.0,1
448,Gentiloni says govt of responsibility,0.0,1
453,Russian ambassador says Moscow ready to restore relations with UK,0.0,1
454,Spanish Pacifists Thank Russian Diplomats for 'Invaluable Aid' for Syria,0.0,1
457,Syrian regime killed at least 82 Aleppo civilians in recent days: UN,1.0,1
459,'Meltdown of humanity': UN says civilians killed execution-style by pro-government forces,1.0,0
460,People in east Aleppo are posting harrowing goodbye messages on social media,1.0,1
461,eNCA | Syrian forces have shot down 82 civilians in Aleppo: UN,1.0,1
462,Drone Strike Finally Catches Up With Paris Attack Planners,0.0,1
463,Civilians 'shot in homes' by Syrian forces in Aleppo - UN,1.0,1
464,Syrian forces killing women and children 'on the spot' warns UN as ministers urged to help,1.0,1
465,Rebels in Aleppo call for ceasefire,1.0,1
466,The Latest: UN cites reports of civilian killings in Aleppo,1.0,1
469,"Atrocities in Aleppo as regime kills, rapes, burns bodies",1.0,1
470,"Turkey talking to Russia on ceasefire, evacuation from Syria’s Aleppo",1.0,1
471,600 civilians killed in Aleppo during November,1.0,1
472,UN agency says dozens of children trapped in building under fire in Syria's Aleppo,1.0,1
473,UN cites reports of civilians killings in Aleppo,1.0,1
475,Civilians in Syria's Aleppo facing 'genocide': Activist,1.0,1
477,Mediaset up 25% amid Vivendi share drive,0.0,1
478,Russia: All military action in eastern Aleppo has stopped,1.0,1
479,Manchester United target Marquinhos delivers Red Devils transfer blow by stating intention to stay at PSG,0.0,1
480,Manchester United target Marquinhos delivers Red Devils transfer blow by stating intention to stay at PSG,0.0,1
481,"Syrian army, Iraqi militia reportedly killing Aleppo civilians - U.N.",1.0,1
482,Turkey to intensify talks with Russia over Aleppo ceasefire,1.0,1
483,"Syrian army, Iraqi militia reportedly killing Aleppo civilians - UN",1.0,1
484,Syrian forces enter homes and kill Aleppo civilians: UN,1.0,1
485,Syrian forces enter homes and kill Aleppo civilians: UN,1.0,1
489,U.N.: 'Meltdown of humanity' in Aleppo as Syrian regime kills civilians,1.0,1
490,Syrian activist on Twitter says civilians in eastern Aleppo are being subject to ‘genocide’ by regime and its allies,1.0,1
492,Iran’s Leader Allocates $500m to Development of Southeastern Province,0.0,1
493,HRW calls for immediate humanitarian relief for Aleppo,1.0,1
494,HRW calls for immediate humanitarian relief for Aleppo,1.0,1
495,"Syrian Army, Iraqi militia reportedly kill 82 Aleppo civilians: UN",1.0,1
496,Syria Forces Kill At Least 82 Aleppo Civilians In Recent Days: UN,1.0,1
497,Syrian government poised for Aleppo victory,1.0,1
498,Aleppo Civilians Killed in 'Complete Meltdown of Humanity': UN,1.0,1
499,The fall of Aleppo,1.0,1
500,Dramatic appeals as Syrian forces poise to take Aleppo,1.0,1
501,Syrian forces reportedly killing civilians 'on the spot' in Aleppo,1.0,1
502,"UN reports Syrian forces in Aleppo entering homes, killing civilians 'on the spot'",1.0,1
503,Mass killing reported in Aleppo as Syria troops near victory,1.0,1
504,UN envoy says Aleppo evacuation 'imminent',1.0,1
505,Syria to evacuate Aleppo in surrender deal,1.0,1
506,Rebels to evacuate Aleppo in surrender deal as fighting ends,1.0,1
507,Dramatic appeals as Syrian forces poise to take Aleppo,1.0,1
508,Aleppo civilians allegedly killed 'on the spot',1.0,1
509,Aleppo civilians allegedly killed 'on the spot',1.0,1
510,"The Latest: Syrian activists says 6,000 detained in Aleppo",1.0,1
511,Military Operations Halted in Aleppo as Assad Army Expels Rebels,1.0,1
512,'A Complete Meltdown of Humanity': Civilians Die in Fight for Eastern Aleppo,1.0,1
513,"Syrian Government Reportedly Kills Dozens of Civilians in Aleppo, Some 'on the Spot,' UN Says",1.0,1
514,Mass killings reported in Aleppo as Syria troops near victory,1.0,1
515,Dramatic appeals as Syrian forces poise to take Aleppo,1.0,1
516,Turkey to set up Russia talks on Aleppo ceasefire to end &#039;humanitarian tragedy&#039;,1.0,1
517,Islamic State claims Cairo cathedral bombing: group's Amaq news agency,0.0,1
521,Executions reported as Aleppo battle nears end,1.0,1
522,Syrian rebels say cease-fire reached to evacuate Aleppo,1.0,1
523,Syrian rebels say cease-fire reached to evacuate Aleppo,1.0,1
524,Activists of Syria's Aleppo share tormented goodbyes online,1.0,1
525,Bulgarian Arms Found at al-Nusra Front Depot in Eastern Aleppo,0.0,1
526,"'Is there literally nothing that can shame you?': US ambassador Power attacks Russia, Assad over 'crimes' in Aleppo",1.0,1
529,"Syria: Gov't Granting Amnesty to over 1,000 Militants in Damascus Countryside",0.0,1
531,"Russian top diplomat calls contacts with Turkey on Syria 'intense, regular'",0.0,1
532,Flu alert,0.0,1
535,Aleppo news: Dozens of children trapped in building under fire,1.0,1
536,Military Operations Halted in Aleppo as Assad Army Expels Rebels,1.0,1
537,UN Security Council to hold emergency meeting on Aleppo,1.0,1
538,Terrorists want to destroy our cities. We can’t let them,1.0,0
539,Obama: President without briefings 'flying blind',1.0,1
540,"Bulgarian Arms Found at Fatah Al-Sham Front Depot in Eastern Aleppo, Syria",0.0,1
543,"Hard Hit for Terrorist Strongholds in Idlib, Lattakia in Syrian Air Raids",1.0,1
545,UN chief alarmed by reports of atrocities in Aleppo,1.0,1
547,"Envoys discuss NKorea amid political flux in US, SKorea",1.0,1
552,Philippines’ Duterte begins Cambodian state visit,0.0,1
553,Philippines' Duterte begins Cambodian state visit,0.0,1
554,Is Ipid the new Illuminati?,1.0,1
555,"Congo-Kinshasa: US, EU Sanction DRC Officials for Undermining Democracy",1.0,0
556,Dead showed no wounds or blood. Who was behind this new chemical attack in Syria?,0.0,1
557,Death At The Border: Threat Of Trump's Wall Intensifies Search For Dying Migrants,1.0,1
558,A president without intel briefings would be 'flying blind': Obama,1.0,1
559,Kerry Congratulates Tillerson on Nomination for US Secretary of State,1.0,0
560,Carter says 3 key Islamic State militants killed in Syria,1.0,0
561,Carter says 3 key Islamic State militants killed in Syria,1.0,0
562,Carter says 3 key Islamic State militants killed in Syria,1.0,0
564,Carter says 3 key Islamic State militants killed in Syria,1.0,0
568,"The Latest: Cosby quips to security, 'Don't tase me, bro'",0.0,1
570,Arab social media users express anger over 'silence' on Aleppo,1.0,1
571,Activists of Syria's Aleppo share tormented goodbyes online,1.0,1
572,Activists of Syria's Aleppo share tormented goodbyes online,1.0,1
575,Pentagon: 3 ISIS leaders killed in airstrike,0.0,1
576,Iran to start developing NUCLEAR-powered war ships in major blow to Obama's atomic deal,0.0,1
578,US Likely to Impose Sanctions on Russia's Intelligence Agency,1.0,0
579,"EPA: 'Data gaps' block verdict on fracking, drinking water",1.0,0
580,Fall of Syria's Aleppo won’t mean end of the war,1.0,1
581,Attack on Aleppo: What we know so far,1.0,1
582,Fewer overweight babies in poor families: CDC,1.0,0
583,"Trump's conflicts are a constitutional crisis, corrosive to U.S. policy, and a threat to world peace",1.0,1
585,"EXCLUSIVE - U.S. to halt some arms sales to Saudi, citing civilian deaths in Yemen campaign",1.0,1
586,South-central Kansas man killed in officer-involved shooting,1.0,1
587,Monsanto shareholders approve merger with Bayer,1.0,0
588,Virus outbreak at Gifford Middle School,0.0,1
589,"Exclusive: US to halt some arms sales to Saudi, citing civilian deaths in Yemen campaign",1.0,1
590,‘Stain on our nation’: Attorney General Lynch condemns ‘disturbing’ rise of anti-Muslim hate crimes,1.0,0
591,Airline chief says UK dragging feet on China visas,0.0,1
598,"EXCLUSIVE – U.S. to halt some arms sales to Saudi, citing civilian deaths in Yemen campaign | Reuters",1.0,1
600,Boris Johnson rules out British aid drops over Aleppo,0.0,1
602,Mexico rights agency to accompany returning migrant caravan,0.0,1
603,UN Security Council to hold emergency meeting on Aleppo at 1700 GMT,1.0,1
604,"Syrian rebels say cease-fire agreement has been reached to evacuate fighters, civilians from Aleppo",1.0,1
605,The Latest: Syrian envoy at UN hails 'liberation of Aleppo',1.0,1
606,UN warns of executions as Syrian regime closes in on Aleppo enclave,1.0,1
608,Russian opposition leader announces presidential bid in move that may pressure Putin,0.0,1
609,‘Eerie silence’: RT 360 video shows devastated Aleppo neighborhood,1.0,1
610,Persian Gulf nations modernizing under new generation of leaders,1.0,0
611,US halts some Saudi arms sales to over Yemen deaths concerns,1.0,0
613,Russian UN envoy confirms agreement reached to let militants leave Aleppo ‘within hours’,1.0,1
614,"Deal to evacuate civilians, fighters from Aleppo",1.0,1
615,Qatar Urges Arab League Meeting to Discuss Situation in Syria's Aleppo,1.0,1
616,Brutality of Assad's forces in Hama massacre revealed,1.0,0
617,Rebels near total defeat in Aleppo,1.0,1
618,Deal struck for Syria rebels to leave Aleppo as U.N. meets,1.0,1
619,UN Security Council to hold emergency meeting on Aleppo,1.0,1
621,"Military operation in eastern Aleppo over, govt restoring control – Russian UN envoy",1.0,1
624,Remaining Aleppo Militants Ask Syrian Army to Let Them Leave for Idlib,1.0,1
625,Joshua to rake in £6.5m against Klitschko,1.0,0
626,"A president without intel briefings would be flying blind, Obama says",1.0,1
627,Syrian rebels to evacuate Aleppo as ceasefire agreed,1.0,1
628,Civilians stream out of crumbling rebel enclave in Aleppo,1.0,1
629,"Syria military source confirms Aleppo truce deal, evacuation of rebels",1.0,1
630,Battle of Aleppo ends after years of fighting as rebels agree to withdraw,1.0,1
631,Syrian children trapped in Aleppo attack: UN,1.0,1
632,"Syria, Allies Must ‘Urgently’ Let Civilians Flee Aleppo, Enable Aid Deliveries",1.0,1
633,Residents of Syria's Aleppo share tormented goodbyes online,1.0,1
634,"Militants Leaving Aleppo, Anti-Terrorist Operation to Be Concluded Within Hours",1.0,1
635,"Syria military source confirms Aleppo truce deal, evacuation of rebels",1.0,1
636,Civilians and rebels can leave Aleppo until Wednesday night under deal: Turkish source,1.0,1
637,Syria's Ahrar al Sham rebel group says 'everyone' to be evacuated tonight to Aleppo countryside,1.0,1
638,Syria ceasefire: Rebel groups to leave Aleppo 'within hours' says Russian UN envoy,1.0,1
639,Islamic State militants re-enter Syria's historic Palmyra,1.0,1
640,Rebels to evacuate Aleppo in surrender deal as fighting ends,1.0,1
641,Syria: Aleppo Militants Ask for Relocation to Idlib,1.0,1
645,Russia says all military action in eastern Aleppo has stopped and the Syrian government is now in control,0.0,1
646,Russia says all military action in eastern Aleppo has stopped and the Syrian government is now in control,0.0,1
647,"Drone strike kills ISIS figures in Syria, some with Paris attack ties",1.0,1
648,Syria rebels reach evacuation deal with government,1.0,1
649,"If we hire them, they will come: The demand side of border security",1.0,0
650,French foie gras producers unworried by bird flu outbreak,0.0,1
651,US cancels weapons transfers to Saudi Arabia over Yemen campaign,1.0,1
652,Govt. to launch energy efficient tubelights at Rs. 250,1.0,0
653,Russia: US coordinated seizure of Palmyra and peace talks at ‘dead-end’,1.0,0
654,"Aleppo ceasefire reached to evacuate civilians and fighters, Russian ambassador to UN says",1.0,1
655,Aleppo on Verge of Full Liberation: Militants Leaving City,1.0,1
656,Effective rebel surrender follows reports of mass killings in Aleppo,1.0,1
657,Heartbreaking Twitter voices of Aleppo talk of horror as they wait to die under Assad's bombs,1.0,1
658,Russia Says Aleppo Operation Has Ended,1.0,1
659,"Russian ‘shelling, execution’ videos in Aleppo faked by militants – MoD",1.0,1
660,Syrian rebels to withdraw from Aleppo,1.0,1
661,"Al-Jaafari denies reports on field executions in Aleppo, stressing the Syrian government’s right to chase and arrest the terrorists",1.0,1
662,Rebels to evacuate Aleppo in surrender deal as fighting ends,1.0,1
663,Rebels to evacuate Aleppo in surrender deal as fighting ends,1.0,1
664,"'Get us out of here' - desperate Aleppo residents fear arrest, death",1.0,1
665,Syria's UN ambassador: 'This is the liberation of Aleppo',1.0,1
666,"'Get us out of here' - desperate Aleppo residents fear arrest, death",1.0,1
667,Activists of Syria’s Aleppo share tormented goodbyes online,1.0,1
668,Activists of Syria's Aleppo share tormented goodbyes online,1.0,1
669,Activists of Syria's Aleppo share tormented goodbyes online,1.0,1
671,"Assad, Shiite militia execute civilians in Aleppo, UN reports",1.0,1
672,Negotiations underway for rebel evacuation from Aleppo,1.0,1
673,Saudi scholars slam 'criminal massacres' by Assad regime,1.0,1
674,"Many Aleppo children trapped in building under attack, says UNICEF",1.0,1
675,UN locked in tense negotiations over Aleppo ceasefire,1.0,1
676,Syrian rebels to leave Aleppo under evacuation deal,1.0,1
677,"Syrian Army Takes Control of Aleppo, Cease-Fire Declared",1.0,1
678,"Desperate Aleppo residents fear arrest, death",1.0,1
679,"Syrian Government now in control of eastern Aleppo, Russia says",1.0,1
680,"'Get us out of here' - desperate Aleppo residents fear arrest, death",1.0,1
